DateTime,SyncDateUTC,Provider,DeviceName
7/12/2023 8:10:48 PM,7/12/2023 8:10:48 PM,Fitbit,Inspire 2
7/12/2023 8:57:07 PM,7/12/2023 8:57:07 PM,Fitbit,Inspire 2
7/12/2023 9:13:06 PM,7/12/2023 9:13:06 PM,Fitbit,Inspire 2
7/12/2023 9:58:25 PM,7/12/2023 9:58:25 PM,Fitbit,Inspire 2
7/12/2023 10:14:25 PM,7/12/2023 10:14:25 PM,Fitbit,Inspire 2
7/13/2023 11:15:38 AM,7/13/2023 11:15:38 AM,Fitbit,Inspire 2
7/13/2023 12:05:25 PM,7/13/2023 12:05:25 PM,Fitbit,Inspire 2
7/13/2023 12:57:24 PM,7/13/2023 12:57:24 PM,Fitbit,Inspire 2
7/13/2023 1:57:35 PM,7/13/2023 1:57:35 PM,Fitbit,Inspire 2
7/13/2023 2:59:07 PM,7/13/2023 2:59:07 PM,Fitbit,Inspire 2
7/13/2023 3:15:06 PM,7/13/2023 3:15:06 PM,Fitbit,Inspire 2
7/13/2023 3:32:06 PM,7/13/2023 3:32:06 PM,Fitbit,Inspire 2
7/13/2023 3:57:53 PM,7/13/2023 3:57:53 PM,Fitbit,Inspire 2
7/13/2023 4:24:58 PM,7/13/2023 4:24:58 PM,Fitbit,Inspire 2
7/13/2023 5:21:04 PM,7/13/2023 5:21:04 PM,Fitbit,Inspire 2
7/13/2023 5:37:02 PM,7/13/2023 5:37:02 PM,Fitbit,Inspire 2
7/13/2023 5:53:03 PM,7/13/2023 5:53:03 PM,Fitbit,Inspire 2
7/13/2023 6:09:03 PM,7/13/2023 6:09:03 PM,Fitbit,Inspire 2
7/13/2023 6:26:03 PM,7/13/2023 6:26:03 PM,Fitbit,Inspire 2
7/13/2023 7:22:28 PM,7/13/2023 7:22:28 PM,Fitbit,Inspire 2
7/13/2023 8:23:05 PM,7/13/2023 8:23:05 PM,Fitbit,Inspire 2
7/14/2023 12:34:44 PM,7/14/2023 12:34:44 PM,Fitbit,Inspire 2
7/14/2023 12:50:28 PM,7/14/2023 12:50:28 PM,Fitbit,Inspire 2
7/14/2023 1:34:43 PM,7/14/2023 1:34:43 PM,Fitbit,Inspire 2
7/14/2023 2:01:59 PM,7/14/2023 2:01:59 PM,Fitbit,Inspire 2
7/14/2023 2:17:58 PM,7/14/2023 2:17:58 PM,Fitbit,Inspire 2
7/14/2023 2:33:58 PM,7/14/2023 2:33:58 PM,Fitbit,Inspire 2
7/14/2023 3:03:28 PM,7/14/2023 3:03:28 PM,Fitbit,Inspire 2
7/14/2023 3:19:27 PM,7/14/2023 3:19:27 PM,Fitbit,Inspire 2
7/14/2023 4:07:00 PM,7/14/2023 4:07:00 PM,Fitbit,Inspire 2
7/14/2023 4:22:59 PM,7/14/2023 4:22:59 PM,Fitbit,Inspire 2
7/14/2023 4:39:59 PM,7/14/2023 4:39:59 PM,Fitbit,Inspire 2
7/14/2023 4:55:58 PM,7/14/2023 4:55:58 PM,Fitbit,Inspire 2
